Ratio Percentage,Primary Enc Counts From Zero,Secondary Enc Counts from zero,Clamping Force (lbf)
358,42537,7956,203
357,42558,7936,203
356,42578,7916,203
355,42599,7896,203
354,42619,7876,203
353,42639,7856,203
352,42659,7837,203
351,42680,7817,202
350,42700,7797,202
349,42720,7777,202
348,42740,7758,202
347,42760,7738,202
346,42780,7718,202
345,42800,7699,202
344,42820,7679,202
343,42840,7660,202
342,42860,7640,202
341,42880,7621,202
340,42900,7601,202
339,42920,7582,202
338,42940,7562,201
337,42960,7543,201
336,42979,7524,201
335,42999,7504,201
334,43019,7485,201
333,43039,7466,201
332,43058,7446,201
331,43078,7427,201
330,43097,7408,201
329,43117,7389,201
328,43136,7369,201
327,43156,7350,201
326,43175,7331,201
325,43195,7312,200
324,43214,7293,200
323,43234,7274,200
322,43253,7255,200
321,43272,7236,200
320,43292,7217,200
319,43311,7198,200
318,43330,7179,200
317,43349,7160,200
316,43368,7141,200
315,43388,7122,200
314,43407,7103,200
313,43426,7084,200
312,43445,7066,200
311,43464,7047,200
310,43483,7028,199
309,43502,7009,199
308,43521,6991,199
307,43540,6972,199
306,43559,6953,199
305,43578,6935,199
304,43596,6916,199
303,43615,6897,199
302,43634,6879,199
301,43653,6860,199
300,43671,6842,199
299,43690,6823,199
298,43709,6805,199
297,43727,6786,199
296,43746,6768,198
295,43765,6749,198
294,43783,6731,198
293,43802,6713,198
292,43820,6694,198
291,43839,6676,198
290,43857,6658,198
289,43876,6639,198
288,43894,6621,198
287,43912,6603,198
286,43931,6585,198
285,43949,6566,198
284,43967,6548,198
283,43986,6530,198
282,44004,6512,198
281,44022,6494,197
280,44040,6476,197
279,44058,6458,197
278,44077,6440,197
277,44095,6422,197
276,44113,6404,197
275,44131,6386,197
274,44149,6368,197
273,44167,6350,197
272,44185,6332,197
271,44203,6314,197
270,44221,6296,197
269,44239,6278,197
268,44257,6260,197
267,44274,6243,197
266,44292,6225,197
265,44310,6207,196
264,44328,6189,196
263,44346,6172,196
262,44363,6154,196
261,44381,6136,196
260,44399,6119,196
259,44416,6101,196
258,44434,6083,196
257,44452,6066,196
256,44469,6048,196
255,44487,6031,196
254,44504,6013,196
253,44522,5996,196
252,44539,5978,196
251,44557,5961,196
250,44574,5943,196
249,44591,5926,195
248,44609,5908,195
247,44626,5891,195
246,44644,5873,195
245,44661,5856,195
244,44678,5839,195
243,44695,5821,195
242,44713,5804,195
241,44730,5787,195
240,44747,5770,195
239,44764,5752,195
238,44781,5735,195
237,44798,5718,195
236,44816,5701,195
235,44833,5684,195
234,44850,5666,195
233,44867,5649,194
232,44884,5632,194
231,44901,5615,194
230,44918,5598,194
229,44935,5581,194
228,44951,5564,194
227,44968,5547,194
226,44985,5530,194
225,45002,5513,194
224,45019,5496,194
223,45036,5479,194
222,45052,5462,194
221,45069,5445,194
220,45086,5429,194
219,45103,5412,194
218,45119,5395,194
217,45136,5378,194
216,45153,5361,193
215,45169,5345,193
214,45186,5328,193
213,45202,5311,193
212,45219,5294,193
211,45235,5278,193
210,45252,5261,193
209,45268,5244,193
208,45285,5228,193
207,45301,5211,193
206,45318,5194,193
205,45334,5178,193
204,45351,5161,193
203,45367,5145,193
202,45383,5128,193
201,45400,5112,193
200,45416,5095,193
199,45432,5079,193
198,45448,5062,192
197,45465,5046,192
196,45481,5029,192
195,45497,5013,192
194,45513,4997,192
193,45529,4980,192
192,45545,4964,192
191,45561,4948,192
190,45577,4931,192
189,45594,4915,192
188,45610,4899,192
187,45626,4882,192
186,45642,4866,192
185,45658,4850,192
184,45673,4834,192
183,45689,4818,192
182,45705,4801,192
181,45721,4785,192
180,45737,4769,191
179,45753,4753,191
178,45769,4737,191
177,45785,4721,191
176,45800,4705,191
175,45816,4689,191
174,45832,4673,191
173,45848,4657,191
172,45863,4641,191
171,45879,4625,191
170,45895,4609,191
169,45910,4593,191
168,45926,4577,191
167,45941,4561,191
166,45957,4545,191
165,45973,4529,191
164,45988,4513,191
163,46004,4497,191
162,46019,4482,191
161,46035,4466,190
160,46050,4450,190
159,46065,4434,190
158,46081,4418,190
157,46096,4403,190
156,46112,4387,190
155,46127,4371,190
154,46142,4356,190
