Ratio Percentage,Primary Enc Counts From Zero,Secondary Enc Counts from zero,Clamping Force (lbf)
594,18291,6771,228
593,18307,6757,228
592,18323,6743,228
591,18338,6728,228
590,18354,6714,228
589,18370,6700,228
588,18385,6686,228
587,18401,6672,227
586,18416,6658,227
585,18432,6644,227
584,18447,6630,227
583,18463,6616,227
582,18478,6602,227
581,18493,6588,226
580,18509,6574,226
579,18524,6560,226
578,18539,6546,226
577,18554,6533,226
576,18570,6519,226
575,18585,6505,226
574,18600,6491,225
573,18615,6477,225
572,18630,6464,225
571,18645,6450,225
570,18660,6436,225
569,18675,6423,225
568,18690,6409,225
567,18705,6396,224
566,18720,6382,224
565,18735,6368,224
564,18749,6355,224
563,18764,6341,224
562,18779,6328,224
561,18794,6314,224
560,18808,6301,224
559,18823,6288,223
558,18838,6274,223
557,18852,6261,223
556,18867,6248,223
555,18881,6234,223
554,18896,6221,223
553,18910,6208,223
552,18925,6194,222
551,18939,6181,222
550,18954,6168,222
549,18968,6155,222
548,18982,6142,222
547,18997,6129,222
546,19011,6115,222
545,19025,6102,222
544,19039,6089,221
543,19053,6076,221
542,19068,6063,221
541,19082,6050,221
540,19096,6037,221
539,19110,6024,221
538,19124,6011,221
537,19138,5998,221
536,19152,5985,220
535,19166,5973,220
534,19180,5960,220
533,19194,5947,220
532,19208,5934,220
531,19221,5921,220
530,19235,5908,220
529,19249,5896,220
528,19263,5883,219
527,19277,5870,219
526,19290,5858,219
525,19304,5845,219
524,19318,5832,219
523,19331,5820,219
522,19345,5807,219
521,19358,5794,219
520,19372,5782,218
519,19386,5769,218
518,19399,5757,218
517,19412,5744,218
516,19426,5732,218
515,19439,5719,218
514,19453,5707,218
513,19466,5694,218
512,19479,5682,218
511,19493,5670,217
510,19506,5657,217
509,19519,5645,217
508,19533,5633,217
507,19546,5620,217
506,19559,5608,217
505,19572,5596,217
504,19585,5583,217
503,19598,5571,216
502,19611,5559,216
501,19625,5547,216
500,19638,5535,216
499,19651,5522,216
498,19664,5510,216
497,19677,5498,216
496,19689,5486,216
495,19702,5474,216
494,19715,5462,215
493,19728,5450,215
492,19741,5438,215
491,19754,5426,215
490,19767,5414,215
489,19779,5402,215
488,19792,5390,215
487,19805,5378,215
486,19818,5366,215
485,19830,5354,214
484,19843,5342,214
483,19856,5330,214
482,19868,5319,214
481,19881,5307,214
480,19893,5295,214
479,19906,5283,214
478,19918,5271,214
477,19931,5260,214
476,19943,5248,214
475,19956,5236,213
474,19968,5224,213
473,19981,5213,213
472,19993,5201,213
471,20005,5189,213
470,20018,5178,213
469,20030,5166,213
468,20042,5155,213
467,20054,5143,213
466,20067,5131,212
465,20079,5120,212
464,20091,5108,212
463,20103,5097,212
462,20115,5085,212
461,20128,5074,212
460,20140,5062,212
459,20152,5051,212
458,20164,5040,212
457,20176,5028,212
456,20188,5017,211
455,20200,5005,211
454,20212,4994,211
453,20224,4983,211
452,20236,4971,211
451,20248,4960,211
450,20260,4949,211
449,20272,4937,211
448,20283,4926,211
447,20295,4915,211
446,20307,4904,211
445,20319,4892,210
444,20331,4881,210
443,20342,4870,210
442,20354,4859,210
441,20366,4848,210
440,20378,4837,210
439,20389,4825,210
438,20401,4814,210
437,20412,4803,210
436,20424,4792,210
435,20436,4781,209
434,20447,4770,209
433,20459,4759,209
432,20470,4748,209
431,20482,4737,209
430,20493,4726,209
429,20505,4715,209
428,20516,4704,209
427,20528,4693,209
426,20539,4682,209
425,20550,4671,209
424,20562,4661,208
423,20573,4650,208
422,20585,4639,208
421,20596,4628,208
420,20607,4617,208
419,20618,4606,208
418,20630,4596,208
417,20641,4585,208
416,20652,4574,208
415,20663,4563,208
414,20675,4553,208
413,20686,4542,207
412,20697,4531,207
411,20708,4520,207
410,20719,4510,207
409,20730,4499,207
408,20741,4489,207
407,20752,4478,207
406,20763,4467,207
405,20774,4457,207
404,20785,4446,207
403,20796,4436,207
402,20807,4425,206
401,20818,4414,206
400,20829,4404,206
399,20840,4393,206
398,20851,4383,206
397,20862,4372,206
396,20873,4362,206
395,20884,4351,206
394,20894,4341,206
393,20905,4331,206
392,20916,4320,206
